instant,dteday,season,yr,mnth,hr,weekday,daystatus,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,level_pengguna
43,2011-01-02,Spring,2011,Januari,19,Minggu,Holiday,clear,0.32,0.2879,0.42,0.4478,1,29,30,Low
44,2011-01-02,Spring,2011,Januari,20,Minggu,Holiday,clear,0.3,0.2727,0.39,0.3582,5,17,22,Low
45,2011-01-02,Spring,2011,Januari,21,Minggu,Holiday,clear,0.26,0.2273,0.44,0.3284,11,20,31,Low
46,2011-01-02,Spring,2011,Januari,22,Minggu,Holiday,clear,0.24,0.2121,0.44,0.2985,0,9,9,Low
47,2011-01-02,Spring,2011,Januari,23,Minggu,Holiday,clear,0.22,0.2273,0.47,0.1642,0,8,8,Low
48,2011-01-03,Spring,2011,Januari,0,Senin,Workingday,clear,0.22,0.197,0.44,0.3582,0,5,5,Low
49,2011-01-03,Spring,2011,Januari,1,Senin,Workingday,clear,0.2,0.1667,0.44,0.4179,0,2,2,Low
50,2011-01-03,Spring,2011,Januari,4,Senin,Workingday,clear,0.16,0.1364,0.47,0.3881,0,1,1,Low
51,2011-01-03,Spring,2011,Januari,5,Senin,Workingday,clear,0.16,0.1364,0.47,0.2836,0,3,3,Low
52,2011-01-03,Spring,2011,Januari,6,Senin,Workingday,clear,0.14,0.1061,0.5,0.3881,0,30,30,Low
53,2011-01-03,Spring,2011,Januari,7,Senin,Workingday,clear,0.14,0.1364,0.5,0.194,1,63,64,Middle
54,2011-01-03,Spring,2011,Januari,8,Senin,Workingday,clear,0.14,0.1212,0.5,0.2836,1,153,154,Middle
55,2011-01-03,Spring,2011,Januari,9,Senin,Workingday,clear,0.16,0.1364,0.43,0.3881,7,81,88,Middle
56,2011-01-03,Spring,2011,Januari,10,Senin,Workingday,clear,0.18,0.1667,0.43,0.2537,11,33,44,Middle
57,2011-01-03,Spring,2011,Januari,11,Senin,Workingday,clear,0.2,0.1818,0.4,0.3284,10,41,51,Middle
58,2011-01-03,Spring,2011,Januari,12,Senin,Workingday,clear,0.22,0.2121,0.35,0.2985,13,48,61,Middle
59,2011-01-03,Spring,2011,Januari,13,Senin,Workingday,clear,0.24,0.2121,0.35,0.2836,8,53,61,Middle
60,2011-01-03,Spring,2011,Januari,14,Senin,Workingday,clear,0.26,0.2424,0.3,0.2836,11,66,77,Middle
61,2011-01-03,Spring,2011,Januari,15,Senin,Workingday,clear,0.26,0.2424,0.3,0.2537,14,58,72,Middle
62,2011-01-03,Spring,2011,Januari,16,Senin,Workingday,clear,0.26,0.2424,0.3,0.2537,9,67,76,Middle
63,2011-01-03,Spring,2011,Januari,17,Senin,Workingday,clear,0.24,0.2273,0.3,0.2239,11,146,157,Middle
64,2011-01-03,Spring,2011,Januari,18,Senin,Workingday,clear,0.24,0.2576,0.32,0.1045,9,148,157,Middle
65,2011-01-03,Spring,2011,Januari,19,Senin,Workingday,clear,0.2,0.2576,0.47,0.0,8,102,110,Middle
66,2011-01-03,Spring,2011,Januari,20,Senin,Workingday,clear,0.2,0.2273,0.47,0.1045,3,49,52,Middle
67,2011-01-03,Spring,2011,Januari,21,Senin,Workingday,clear,0.18,0.197,0.64,0.1343,3,49,52,Middle
68,2011-01-03,Spring,2011,Januari,22,Senin,Workingday,clear,0.14,0.1515,0.69,0.1343,0,20,20,Low
69,2011-01-03,Spring,2011,Januari,23,Senin,Workingday,clear,0.18,0.2121,0.55,0.1045,1,11,12,Low
70,2011-01-04,Spring,2011,Januari,0,Selasa,Workingday,clear,0.16,0.1818,0.55,0.1045,0,5,5,Low
71,2011-01-04,Spring,2011,Januari,1,Selasa,Workingday,clear,0.16,0.1818,0.59,0.1045,0,2,2,Low
72,2011-01-04,Spring,2011,Januari,2,Selasa,Workingday,clear,0.14,0.1515,0.63,0.1343,0,1,1,Low
73,2011-01-04,Spring,2011,Januari,4,Selasa,Workingday,clear,0.14,0.1818,0.63,0.0896,0,2,2,Low
74,2011-01-04,Spring,2011,Januari,5,Selasa,Workingday,clear,0.12,0.1515,0.68,0.1045,0,4,4,Low
75,2011-01-04,Spring,2011,Januari,6,Selasa,Workingday,clear,0.12,0.1515,0.74,0.1045,0,36,36,Low
76,2011-01-04,Spring,2011,Januari,7,Selasa,Workingday,clear,0.12,0.1515,0.74,0.1343,2,92,94,Middle
77,2011-01-04,Spring,2011,Januari,8,Selasa,Workingday,clear,0.14,0.1515,0.69,0.1642,2,177,179,Middle
78,2011-01-04,Spring,2011,Januari,9,Selasa,Workingday,clear,0.16,0.1515,0.64,0.2239,2,98,100,Middle
79,2011-01-04,Spring,2011,Januari,10,Selasa,Workingday,mist,0.16,0.1364,0.69,0.3284,5,37,42,Middle
80,2011-01-04,Spring,2011,Januari,11,Selasa,Workingday,clear,0.22,0.2121,0.51,0.2985,7,50,57,Middle
81,2011-01-04,Spring,2011,Januari,12,Selasa,Workingday,clear,0.22,0.2273,0.51,0.1642,12,66,78,Middle
82,2011-01-04,Spring,2011,Januari,13,Selasa,Workingday,clear,0.24,0.2273,0.56,0.194,18,79,97,Middle
83,2011-01-04,Spring,2011,Januari,14,Selasa,Workingday,clear,0.26,0.2576,0.52,0.2239,9,54,63,Middle
84,2011-01-04,Spring,2011,Januari,15,Selasa,Workingday,clear,0.28,0.2727,0.52,0.2537,17,48,65,Middle
85,2011-01-04,Spring,2011,Januari,16,Selasa,Workingday,clear,0.3,0.2879,0.49,0.2537,15,68,83,Middle
86,2011-01-04,Spring,2011,Januari,17,Selasa,Workingday,clear,0.28,0.2727,0.48,0.2239,10,202,212,Middle
87,2011-01-04,Spring,2011,Januari,18,Selasa,Workingday,clear,0.26,0.2576,0.48,0.194,3,179,182,Middle
88,2011-01-04,Spring,2011,Januari,19,Selasa,Workingday,clear,0.24,0.2576,0.48,0.1045,2,110,112,Middle
89,2011-01-04,Spring,2011,Januari,20,Selasa,Workingday,clear,0.24,0.2576,0.48,0.1045,1,53,54,Middle
90,2011-01-04,Spring,2011,Januari,21,Selasa,Workingday,clear,0.22,0.2727,0.64,0.0,0,48,48,Middle
91,2011-01-04,Spring,2011,Januari,22,Selasa,Workingday,clear,0.22,0.2576,0.64,0.0896,1,34,35,Low
92,2011-01-04,Spring,2011,Januari,23,Selasa,Workingday,clear,0.2,0.2273,0.69,0.0896,2,9,11,Low
93,2011-01-05,Spring,2011,Januari,0,Rabu,Workingday,clear,0.2,0.2576,0.64,0.0,0,6,6,Low
94,2011-01-05,Spring,2011,Januari,1,Rabu,Workingday,clear,0.16,0.197,0.74,0.0896,0,6,6,Low
95,2011-01-05,Spring,2011,Januari,2,Rabu,Workingday,clear,0.16,0.197,0.74,0.0896,0,2,2,Low
96,2011-01-05,Spring,2011,Januari,4,Rabu,Workingday,clear,0.24,0.2273,0.48,0.2239,0,2,2,Low
97,2011-01-05,Spring,2011,Januari,5,Rabu,Workingday,clear,0.22,0.2273,0.47,0.1642,0,3,3,Low
98,2011-01-05,Spring,2011,Januari,6,Rabu,Workingday,clear,0.2,0.197,0.47,0.2239,0,33,33,Low
99,2011-01-05,Spring,2011,Januari,7,Rabu,Workingday,clear,0.18,0.1818,0.43,0.194,1,87,88,Middle
100,2011-01-05,Spring,2011,Januari,8,Rabu,Workingday,clear,0.2,0.1818,0.4,0.2985,3,192,195,Middle
101,2011-01-05,Spring,2011,Januari,9,Rabu,Workingday,clear,0.22,0.197,0.37,0.3284,6,109,115,Middle
102,2011-01-05,Spring,2011,Januari,10,Rabu,Workingday,clear,0.22,0.197,0.37,0.3284,4,53,57,Middle
103,2011-01-05,Spring,2011,Januari,11,Rabu,Workingday,clear,0.26,0.2273,0.33,0.3284,12,34,46,Middle
104,2011-01-05,Spring,2011,Januari,12,Rabu,Workingday,clear,0.26,0.2273,0.33,0.3284,5,74,79,Middle
105,2011-01-05,Spring,2011,Januari,13,Rabu,Workingday,clear,0.28,0.2576,0.3,0.2985,6,65,71,Middle
106,2011-01-05,Spring,2011,Januari,14,Rabu,Workingday,clear,0.3,0.2879,0.28,0.194,10,52,62,Middle
107,2011-01-05,Spring,2011,Januari,15,Rabu,Workingday,clear,0.3,0.2879,0.28,0.194,7,55,62,Middle
108,2011-01-05,Spring,2011,Januari,16,Rabu,Workingday,clear,0.3,0.3182,0.28,0.0896,4,85,89,Middle
109,2011-01-05,Spring,2011,Januari,17,Rabu,Workingday,clear,0.24,0.2273,0.38,0.194,4,186,190,Middle
110,2011-01-05,Spring,2011,Januari,18,Rabu,Workingday,clear,0.24,0.2424,0.38,0.1343,3,166,169,Middle
111,2011-01-05,Spring,2011,Januari,19,Rabu,Workingday,clear,0.24,0.2576,0.38,0.1045,5,127,132,Middle
112,2011-01-05,Spring,2011,Januari,20,Rabu,Workingday,clear,0.22,0.2273,0.47,0.1642,7,82,89,Middle
113,2011-01-05,Spring,2011,Januari,21,Rabu,Workingday,clear,0.2,0.197,0.51,0.194,3,40,43,Middle
114,2011-01-05,Spring,2011,Januari,22,Rabu,Workingday,clear,0.18,0.197,0.55,0.1343,1,41,42,Middle
115,2011-01-05,Spring,2011,Januari,23,Rabu,Workingday,clear,0.2,0.2576,0.47,0.0,1,18,19,Low
116,2011-01-06,Spring,2011,Januari,0,Kamis,Workingday,clear,0.18,0.2424,0.55,0.0,0,11,11,Low
117,2011-01-06,Spring,2011,Januari,1,Kamis,Workingday,clear,0.16,0.2273,0.64,0.0,0,4,4,Low
118,2011-01-06,Spring,2011,Januari,2,Kamis,Workingday,clear,0.16,0.2273,0.64,0.0,0,2,2,Low
119,2011-01-06,Spring,2011,Januari,4,Kamis,Workingday,mist,0.16,0.197,0.64,0.0896,0,1,1,Low
120,2011-01-06,Spring,2011,Januari,5,Kamis,Workingday,mist,0.14,0.1818,0.69,0.0896,0,4,4,Low
121,2011-01-06,Spring,2011,Januari,6,Kamis,Workingday,mist,0.14,0.1667,0.63,0.1045,0,36,36,Low
122,2011-01-06,Spring,2011,Januari,7,Kamis,Workingday,mist,0.16,0.2273,0.59,0.0,0,95,95,Middle
123,2011-01-06,Spring,2011,Januari,8,Kamis,Workingday,clear,0.16,0.2273,0.59,0.0,3,216,219,Middle
124,2011-01-06,Spring,2011,Januari,9,Kamis,Workingday,mist,0.18,0.2424,0.51,0.0,6,116,122,Middle
125,2011-01-06,Spring,2011,Januari,10,Kamis,Workingday,clear,0.2,0.2576,0.47,0.0,3,42,45,Middle
126,2011-01-06,Spring,2011,Januari,11,Kamis,Workingday,clear,0.22,0.2576,0.44,0.0896,2,57,59,Middle
127,2011-01-06,Spring,2011,Januari,12,Kamis,Workingday,clear,0.26,0.2879,0.35,0.0,6,78,84,Middle
128,2011-01-06,Spring,2011,Januari,13,Kamis,Workingday,clear,0.26,0.2727,0.35,0.1045,12,55,67,Middle
129,2011-01-06,Spring,2011,Januari,14,Kamis,Workingday,clear,0.28,0.2727,0.36,0.1642,11,59,70,Middle
130,2011-01-06,Spring,2011,Januari,15,Kamis,Workingday,clear,0.28,0.2727,0.36,0.0,8,54,62,Middle
131,2011-01-06,Spring,2011,Januari,16,Kamis,Workingday,clear,0.26,0.2576,0.38,0.1642,12,74,86,Middle
132,2011-01-06,Spring,2011,Januari,17,Kamis,Workingday,clear,0.22,0.2273,0.51,0.1642,9,163,172,Middle
133,2011-01-06,Spring,2011,Januari,18,Kamis,Workingday,clear,0.22,0.2273,0.51,0.1343,5,158,163,Middle
134,2011-01-06,Spring,2011,Januari,19,Kamis,Workingday,clear,0.22,0.2576,0.55,0.0896,3,109,112,Middle
135,2011-01-06,Spring,2011,Januari,20,Kamis,Workingday,clear,0.2,0.2121,0.51,0.1642,3,66,69,Middle
136,2011-01-06,Spring,2011,Januari,21,Kamis,Workingday,mist,0.22,0.2121,0.55,0.2239,0,48,48,Middle
137,2011-01-06,Spring,2011,Januari,22,Kamis,Workingday,mist,0.22,0.2121,0.51,0.2836,1,51,52,Middle
138,2011-01-06,Spring,2011,Januari,23,Kamis,Workingday,mist,0.2,0.197,0.59,0.194,4,19,23,Low
139,2011-01-07,Spring,2011,Januari,0,Jumat,Workingday,mist,0.2,0.197,0.64,0.194,4,13,17,Low
140,2011-01-07,Spring,2011,Januari,1,Jumat,Workingday,mist,0.2,0.197,0.69,0.2239,2,5,7,Low
141,2011-01-07,Spring,2011,Januari,2,Jumat,Workingday,mist,0.2,0.197,0.69,0.2239,0,1,1,Low
142,2011-01-07,Spring,2011,Januari,4,Jumat,Workingday,mist,0.2,0.2121,0.69,0.1343,0,1,1,Low
143,2011-01-07,Spring,2011,Januari,5,Jumat,Workingday,light snow,0.22,0.2727,0.55,0.0,0,5,5,Low
144,2011-01-07,Spring,2011,Januari,6,Jumat,Workingday,mist,0.2,0.2576,0.69,0.0,8,26,34,Low
145,2011-01-07,Spring,2011,Januari,7,Jumat,Workingday,clear,0.2,0.2121,0.69,0.1343,8,76,84,Middle
146,2011-01-07,Spring,2011,Januari,8,Jumat,Workingday,clear,0.2,0.197,0.51,0.2537,20,190,210,Middle
147,2011-01-07,Spring,2011,Januari,9,Jumat,Workingday,clear,0.2,0.1818,0.47,0.2985,9,125,134,Middle
148,2011-01-07,Spring,2011,Januari,10,Jumat,Workingday,clear,0.22,0.197,0.37,0.3284,16,47,63,Middle
149,2011-01-07,Spring,2011,Januari,11,Jumat,Workingday,mist,0.2,0.197,0.4,0.2239,19,48,67,Middle
150,2011-01-07,Spring,2011,Januari,12,Jumat,Workingday,mist,0.2,0.197,0.37,0.2537,9,50,59,Middle
151,2011-01-07,Spring,2011,Januari,13,Jumat,Workingday,mist,0.2,0.1818,0.37,0.2836,9,64,73,Middle
152,2011-01-07,Spring,2011,Januari,14,Jumat,Workingday,mist,0.2,0.197,0.4,0.2537,7,43,50,Middle
153,2011-01-07,Spring,2011,Januari,15,Jumat,Workingday,mist,0.2,0.2121,0.37,0.1642,9,63,72,Middle
154,2011-01-07,Spring,2011,Januari,16,Jumat,Workingday,mist,0.2,0.2121,0.37,0.1642,5,82,87,Middle
155,2011-01-07,Spring,2011,Januari,17,Jumat,Workingday,mist,0.2,0.2576,0.37,0.0,9,178,187,Middle
156,2011-01-07,Spring,2011,Januari,18,Jumat,Workingday,clear,0.2,0.2273,0.4,0.0896,7,116,123,Middle
157,2011-01-07,Spring,2011,Januari,19,Jumat,Workingday,clear,0.16,0.197,0.55,0.0896,3,92,95,Middle
158,2011-01-07,Spring,2011,Januari,20,Jumat,Workingday,clear,0.18,0.2121,0.47,0.1045,1,50,51,Middle
159,2011-01-07,Spring,2011,Januari,21,Jumat,Workingday,clear,0.18,0.197,0.47,0.1343,0,39,39,Low
160,2011-01-07,Spring,2011,Januari,22,Jumat,Workingday,mist,0.18,0.197,0.43,0.1642,2,34,36,Low
161,2011-01-07,Spring,2011,Januari,23,Jumat,Workingday,mist,0.18,0.197,0.51,0.1642,1,14,15,Low
162,2011-01-08,Spring,2011,Januari,0,Sabtu,Holiday,mist,0.18,0.197,0.51,0.1642,1,24,25,Low
163,2011-01-08,Spring,2011,Januari,1,Sabtu,Holiday,mist,0.18,0.2121,0.55,0.0896,1,15,16,Low
164,2011-01-08,Spring,2011,Januari,2,Sabtu,Holiday,mist,0.18,0.2424,0.55,0.0,3,13,16,Low
165,2011-01-08,Spring,2011,Januari,3,Sabtu,Holiday,light snow,0.18,0.197,0.55,0.1642,0,7,7,Low
166,2011-01-08,Spring,2011,Januari,4,Sabtu,Holiday,light snow,0.18,0.197,0.55,0.1642,0,1,1,Low
167,2011-01-08,Spring,2011,Januari,5,Sabtu,Holiday,mist,0.16,0.1667,0.74,0.1642,0,5,5,Low
168,2011-01-08,Spring,2011,Januari,6,Sabtu,Holiday,mist,0.16,0.1667,0.74,0.1642,0,2,2,Low
169,2011-01-08,Spring,2011,Januari,7,Sabtu,Holiday,mist,0.16,0.1818,0.74,0.1045,1,8,9,Low
170,2011-01-08,Spring,2011,Januari,8,Sabtu,Holiday,light snow,0.16,0.1818,0.93,0.1045,0,15,15,Low
171,2011-01-08,Spring,2011,Januari,9,Sabtu,Holiday,light snow,0.16,0.1818,0.93,0.1045,0,20,20,Low
172,2011-01-08,Spring,2011,Januari,10,Sabtu,Holiday,mist,0.18,0.197,0.8,0.1642,5,56,61,Middle
173,2011-01-08,Spring,2011,Januari,11,Sabtu,Holiday,mist,0.2,0.1818,0.69,0.3881,2,60,62,Middle
174,2011-01-08,Spring,2011,Januari,12,Sabtu,Holiday,mist,0.2,0.1818,0.59,0.3582,8,90,98,Middle
175,2011-01-08,Spring,2011,Januari,13,Sabtu,Holiday,clear,0.2,0.1818,0.44,0.3284,7,95,102,Middle
176,2011-01-08,Spring,2011,Januari,14,Sabtu,Holiday,clear,0.2,0.1667,0.32,0.4925,12,83,95,Middle
177,2011-01-08,Spring,2011,Januari,15,Sabtu,Holiday,clear,0.2,0.1667,0.32,0.4478,5,69,74,Middle
178,2011-01-08,Spring,2011,Januari,16,Sabtu,Holiday,clear,0.18,0.1364,0.29,0.4478,8,68,76,Middle
179,2011-01-08,Spring,2011,Januari,17,Sabtu,Holiday,clear,0.16,0.1212,0.37,0.5522,5,64,69,Middle
180,2011-01-08,Spring,2011,Januari,18,Sabtu,Holiday,clear,0.14,0.1212,0.39,0.2985,3,52,55,Middle
181,2011-01-08,Spring,2011,Januari,19,Sabtu,Holiday,clear,0.14,0.1212,0.36,0.2537,4,26,30,Low
182,2011-01-08,Spring,2011,Januari,20,Sabtu,Holiday,clear,0.12,0.1212,0.36,0.2537,0,28,28,Low
183,2011-01-08,Spring,2011,Januari,21,Sabtu,Holiday,clear,0.12,0.1061,0.39,0.3582,2,35,37,Low
184,2011-01-08,Spring,2011,Januari,22,Sabtu,Holiday,clear,0.12,0.1061,0.36,0.3881,1,33,34,Low
185,2011-01-08,Spring,2011,Januari,23,Sabtu,Holiday,clear,0.1,0.0606,0.39,0.4478,0,22,22,Low
186,2011-01-09,Spring,2011,Januari,0,Minggu,Holiday,clear,0.1,0.0758,0.42,0.3881,1,24,25,Low
187,2011-01-09,Spring,2011,Januari,1,Minggu,Holiday,clear,0.1,0.0606,0.42,0.4627,0,12,12,Low
188,2011-01-09,Spring,2011,Januari,2,Minggu,Holiday,clear,0.1,0.0606,0.46,0.4627,0,11,11,Low
189,2011-01-09,Spring,2011,Januari,3,Minggu,Holiday,clear,0.1,0.0758,0.46,0.4179,0,4,4,Low
190,2011-01-09,Spring,2011,Januari,4,Minggu,Holiday,clear,0.08,0.0909,0.53,0.194,0,1,1,Low
191,2011-01-09,Spring,2011,Januari,5,Minggu,Holiday,clear,0.08,0.0909,0.53,0.194,0,1,1,Low
192,2011-01-09,Spring,2011,Januari,6,Minggu,Holiday,clear,0.1,0.0909,0.49,0.2836,0,1,1,Low
193,2011-01-09,Spring,2011,Januari,7,Minggu,Holiday,clear,0.08,0.0909,0.53,0.194,1,5,6,Low
194,2011-01-09,Spring,2011,Januari,8,Minggu,Holiday,clear,0.1,0.0909,0.49,0.2836,0,10,10,Low
195,2011-01-09,Spring,2011,Januari,9,Minggu,Holiday,clear,0.12,0.0758,0.46,0.5224,0,19,19,Low
196,2011-01-09,Spring,2011,Januari,10,Minggu,Holiday,clear,0.14,0.1061,0.43,0.3881,0,49,49,Middle
197,2011-01-09,Spring,2011,Januari,11,Minggu,Holiday,clear,0.16,0.1212,0.4,0.5224,2,47,49,Middle
198,2011-01-09,Spring,2011,Januari,12,Minggu,Holiday,clear,0.18,0.1364,0.37,0.4478,4,79,83,Middle
199,2011-01-09,Spring,2011,Januari,13,Minggu,Holiday,clear,0.2,0.1667,0.34,0.4478,6,69,75,Middle
200,2011-01-09,Spring,2011,Januari,14,Minggu,Holiday,clear,0.22,0.1818,0.32,0.4627,8,64,72,Middle
201,2011-01-09,Spring,2011,Januari,15,Minggu,Holiday,clear,0.22,0.197,0.35,0.3582,5,77,82,Middle
202,2011-01-09,Spring,2011,Januari,16,Minggu,Holiday,clear,0.2,0.1667,0.34,0.4478,13,79,92,Middle
203,2011-01-09,Spring,2011,Januari,17,Minggu,Holiday,clear,0.18,0.1515,0.37,0.3881,3,59,62,Middle
204,2011-01-09,Spring,2011,Januari,18,Minggu,Holiday,clear,0.16,0.1364,0.4,0.3284,4,44,48,Middle
205,2011-01-09,Spring,2011,Januari,19,Minggu,Holiday,clear,0.16,0.1364,0.43,0.3284,1,40,41,Middle
206,2011-01-09,Spring,2011,Januari,20,Minggu,Holiday,clear,0.14,0.1212,0.46,0.2537,0,38,38,Low
207,2011-01-09,Spring,2011,Januari,21,Minggu,Holiday,clear,0.14,0.1061,0.46,0.4179,1,19,20,Low
208,2011-01-09,Spring,2011,Januari,22,Minggu,Holiday,clear,0.14,0.1212,0.46,0.2985,5,10,15,Low
209,2011-01-09,Spring,2011,Januari,23,Minggu,Holiday,clear,0.12,0.1364,0.5,0.194,0,6,6,Low
210,2011-01-10,Spring,2011,Januari,0,Senin,Workingday,clear,0.12,0.1212,0.5,0.2836,2,3,5,Low
211,2011-01-10,Spring,2011,Januari,1,Senin,Workingday,clear,0.12,0.1212,0.5,0.2836,1,0,1,Low
212,2011-01-10,Spring,2011,Januari,2,Senin,Workingday,clear,0.12,0.1212,0.5,0.2239,0,3,3,Low
213,2011-01-10,Spring,2011,Januari,3,Senin,Workingday,clear,0.12,0.1212,0.5,0.2239,0,1,1,Low
214,2011-01-10,Spring,2011,Januari,4,Senin,Workingday,clear,0.1,0.1212,0.54,0.1343,1,2,3,Low
215,2011-01-10,Spring,2011,Januari,5,Senin,Workingday,clear,0.1,0.1061,0.54,0.2537,0,3,3,Low
216,2011-01-10,Spring,2011,Januari,6,Senin,Workingday,clear,0.12,0.1212,0.5,0.2836,0,31,31,Low
217,2011-01-10,Spring,2011,Januari,7,Senin,Workingday,clear,0.12,0.1212,0.5,0.2239,2,75,77,Middle
218,2011-01-10,Spring,2011,Januari,8,Senin,Workingday,mist,0.12,0.1212,0.5,0.2836,4,184,188,Middle
219,2011-01-10,Spring,2011,Januari,9,Senin,Workingday,mist,0.14,0.1212,0.5,0.2537,2,92,94,Middle
220,2011-01-10,Spring,2011,Januari,10,Senin,Workingday,mist,0.14,0.1212,0.5,0.2985,0,31,31,Low
221,2011-01-10,Spring,2011,Januari,11,Senin,Workingday,mist,0.16,0.1364,0.47,0.2836,2,28,30,Low
222,2011-01-10,Spring,2011,Januari,12,Senin,Workingday,mist,0.2,0.1818,0.4,0.2836,5,47,52,Middle
